rank,owner,name,url,description,language,stars_total,forks,stars_this_week
1,Nutlope,hallmark,https://github.com/Nutlope/hallmark,"Anti-AI-slop design skill for Claude Code, Cursor, and Codex.",CSS,13806,695,9193
2,OpenCut-app,OpenCut,https://github.com/OpenCut-app/OpenCut,The open-source CapCut alternative,TypeScript,76154,7653,12743
3,Shubhamsaboo,awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,"100+ AI Agent & RAG apps you can actually run — clone, customize, ship.",Python,124874,18440,6211
4,HKUDS,DeepTutor,https://github.com/HKUDS/DeepTutor,DeepTutor: Lifelong Personalized Tutoring. https://deeptutor.info/ .,Python,28211,3732,2375
5,HKUDS,Vibe-Trading,https://github.com/HKUDS/Vibe-Trading,"""Vibe-Trading: Your Personal Trading Agent""",Python,25496,4194,5228
6,tirth8205,code-review-graph,https://github.com/tirth8205/code-review-graph,"Local-first code intelligence graph for MCP and CLI. Builds a persistent map of your codebase so AI coding tools read only what matters, with benchmarked context reductions on reviews and large-repo workflows.",Python,22216,2227,1103
7,ibelick,ui-skills,https://github.com/ibelick/ui-skills,Skills for Design Engineers,TypeScript,5557,236,1669
8,mattpocock,skills,https://github.com/mattpocock/skills,Skills for Real Engineers. Straight from my .agents directory.,Shell,178278,15257,10983
9,kangarooking,cangjie-skill,https://github.com/kangarooking/cangjie-skill,把书、长视频、播客等高价值内容蒸馏成可执行的 Agent Skills,Python,4009,546,1284
10,iOfficeAI,OfficeCLI,https://github.com/iOfficeAI/OfficeCLI,"OfficeCLI is the first and best Office suite purpose-built for AI agents to read, edit, and automate Word, Excel, and PowerPoint files. Free, open-source, single binary, no Office installation required.",C#,19935,1343,4269
